Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Dividend (Ordinary),2023-03-30 12:40:31,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),1.48228,0.23,GBP,Not available,,,9.13,CZK,0.0,GBP,,,,,,
Deposit,2023-04-27 19:02:29,,,,,,,,,,1000.0,CZK,,,Transaction ID: CT2J3RJCB4L29C32,5a7ad84c-a985-4e1c-918c-629d2cb690ab,,,,
Market buy,2023-04-27 19:02:56,US88160R1014,TSLA,Tesla,0.1467989,159.79,USD,0.04698,,CZK,500.0,CZK,,,,EOF2383003852,0.75,CZK,,
Market buy,2023-04-27 19:03:25,US60741F1049,MBLY,Mobileye Global,0.666741,34.13,USD,0.04699,,CZK,485.0,CZK,,,,EOF2383003874,0.73,CZK,,
Deposit,2023-04-27 19:04:27,,,,,,,,,,1000.0,CZK,,,Transaction ID: JZGMJV646F8JBFG2,393a2f65-5656-481f-b2a4-d2ebe913e549,,,,
Market buy,2023-04-27 19:05:02,US88160R1014,TSLA,Tesla,0.293312,159.96,USD,0.04698,,CZK,1000.0,CZK,,,,EOF2383003961,1.5,CZK,,
Deposit,2023-05-09 15:05:51,,,,,,,,,,1000.0,CZK,,,Transaction ID: Z5VBJ6ZNGBJH2C52,0ce13cb6-b556-4c97-af79-810a18fb8c1d,,,,
Market buy,2023-05-09 15:06:05,US88160R1014,TSLA,Tesla,0.2786302,167.77,USD,0.04681,,CZK,1000.0,CZK,,,,EOF3015671453,1.5,CZK,,
Deposit,2023-05-15 14:41:07,,,,,,,,,,1000.0,CZK,,,Transaction ID: F9MS6LS8Q9NXZP52,639e663e-7db3-4186-86a9-cb7d734887eb,,,,
Market buy,2023-05-15 14:41:32,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),0.588068,62.52,GBP,0.03682,,CZK,1000.0,CZK,,,,EOF3024780248,1.5,CZK,,
Deposit,2023-05-18 18:47:32,,,,,,,,,,1000.0,CZK,,,Transaction ID: Z2KJ28SQWVBJ8C52,e0819615-c173-4c01-acd9-2e1b89ed9e81,,,,
Market buy,2023-05-18 18:47:52,US67066G1040,NVDA,NVIDIA,0.143595,315.66,USD,0.04539,,CZK,1000.0,CZK,,,,EOF3031160949,1.5,CZK,,
Dividend (Ordinary),2023-05-19 11:03:56,US0378331005,AAPL,Apple,0.1429123,0.2,USD,Not available,,,0.64,CZK,0.01,USD,,,,,,
Dividend (Ordinary),2023-06-30 15:28:00,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),2.070348,0.22,GBP,Not available,,,12.43,CZK,0.0,GBP,,,,,,
Dividend (Dividends paid by us corporations),2023-07-03 12:56:25,US67066G1040,NVDA,NVIDIA,0.143595,0.03,USD,Not available,,,0.11,CZK,0.0,USD,,,,,,
Dividend (Dividends paid by us corporations),2023-08-17 10:47:06,US0378331005,AAPL,Apple,0.1429123,0.2,USD,Not available,,,0.65,CZK,0.01,USD,,,,,,
Deposit,2023-09-11 15:01:50,,,,,,,,,,8000.0,CZK,,,Transaction ID: VCSZ7PV9FPTWRP52,b28db0f6-1279-45f6-8c40-1ea737edba06,,,,
Market sell,2023-09-12 13:30:07,US60741F1049,MBLY,Mobileye Global,3.670773,35.8,USD,0.04362,-196.71,CZK,3007.95,CZK,,,,EOF3281648339,4.52,CZK,,
Market buy,2023-09-12 15:54:34,US0378331005,AAPL,Apple,0.8628452,176.96,USD,0.04369,,CZK,3499.99,CZK,,,,EOF3283754459,5.24,CZK,,
Dividend (Ordinary),2023-09-27 12:00:13,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),2.070348,0.22,GBP,Not available,,,12.77,CZK,0.0,GBP,,,,,,
Dividend (Dividends paid by us corporations),2023-09-28 08:26:45,US67066G1040,NVDA,NVIDIA,0.143595,0.03,USD,Not available,,,0.11,CZK,0.0,USD,,,,,,
Market buy,2023-10-02 13:30:18,US65339F1012,NEE,NextEra Energy,0.764673,56.23,USD,0.04306,,CZK,1000.0,CZK,,,,EOF4200563821,1.5,CZK,,
Market buy,2023-10-02 14:19:52,US65339F1012,NEE,NextEra Energy,0.160706,53.51,USD,0.04306,,CZK,200.0,CZK,,,,EOF4201473102,0.3,CZK,,
Market buy,2023-10-02 14:21:48,US65339F1012,NEE,NextEra Energy,0.080368,53.5,USD,0.04306,,CZK,100.0,CZK,,,,EOF4201473855,0.15,CZK,,
Market buy,2023-10-09 13:30:12,US2546871060,DIS,Walt Disney,0.509697,84.4,USD,0.04308,,CZK,1000.0,CZK,,,,EOF4500060788,1.5,CZK,,
Market buy,2023-10-09 16:15:27,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.1502837,343.66,USD,0.04310,,CZK,1200.0,CZK,,,,EOF4501019249,1.8,CZK,,
Deposit,2023-10-10 15:32:04,,,,,,,,,,2000.0,CZK,,,Transaction ID: PHK67R25W9BSGHG2,cef00b06-131e-43e3-8b34-52e8587b6874,,,,
Market buy,2023-10-11 13:30:08,US4781601046,JNJ,Johnson & Johnson,0.3265373,158.75,USD,0.04326,,CZK,1200.0,CZK,,,,EOF4551981641,1.8,CZK,,
Market buy,2023-10-13 13:30:04,US03027X1000,AMT,American Tower,0.1275502,167.0,USD,0.04266,,CZK,500.0,CZK,,,,EOF4652034577,0.75,CZK,,
Market buy,2023-10-13 13:30:08,US95040Q1040,WELL,Welltower,0.24859,85.72,USD,0.04268,,CZK,500.0,CZK,,,,EOF4652038977,0.75,CZK,,
Market buy,2023-10-18 15:13:41,US46625H1005,JPM,JPMorgan Chase & Co,0.348815,146.42,USD,0.04262,,CZK,1200.0,CZK,,,,EOF4900614475,1.8,CZK,,
Market sell,2023-10-25 13:48:21,US65339F1012,NEE,NextEra Energy,0.231023,55.52,USD,0.04281,1.38,CZK,299.1,CZK,,,,EOF5201009884,0.45,CZK,,
Market buy,2023-10-25 13:49:05,US46625H1005,JPM,JPMorgan Chase & Co,0.0913071,140.54,USD,0.04283,,CZK,300.0,CZK,,,,EOF5201010061,0.45,CZK,,
Market sell,2023-10-27 13:31:35,US2546871060,DIS,Walt Disney,0.509697,79.73,USD,0.04293,-52.03,CZK,945.05,CZK,,,,EOF5251092107,1.42,CZK,,
Market buy,2023-10-27 18:59:40,US46625H1005,JPM,JPMorgan Chase & Co,0.1581828,135.38,USD,0.04289,,CZK,500.0,CZK,,,,EOF5300854357,0.75,CZK,,
Market buy,2023-10-27 19:02:01,US2546871060,DIS,Walt Disney,0.538533,79.53,USD,0.04289,,CZK,1000.0,CZK,,,,EOF5300854437,1.5,CZK,,
Market buy,2023-10-27 19:40:01,US2546871060,DIS,Walt Disney,0.270204,79.27,USD,0.04290,,CZK,500.0,CZK,,,,EOF5300857001,0.75,CZK,,
Market buy,2023-10-30 15:35:32,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0643934,335.32,USD,0.04324,,CZK,500.0,CZK,,,,EOF5400920350,0.75,CZK,,
Market buy,2023-10-31 19:27:34,US95040Q1040,WELL,Welltower,0.256635,83.82,USD,0.04308,,CZK,500.0,CZK,,,,EOF5450094207,0.75,CZK,,
